question_text;answer_text;poryadkovyi_numbar
Как определяется страховая премия по договору обязательного страхования?  (Ст. 7. п.1.);"Как произведение устанавливаемых в соответствии с ФЗ от 27.07.2010 г. № 225-ФЗ ""Об обязательном страховании гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте"" страховой суммы и страхового тарифа";1
Когда обязанность по уплате страховой премии (очередного страхового взноса) считается исполненной страхователем? (Ст. 7. п.2.);Со дня поступления денежных средств на банковский счет или в кассу страховщика;1
Сколько процентов страховой премии может составлять доля страховой премии, непосредственно предназначенная для осуществления страховых и компенсационных выплат потерпевшим? (Ст. 7. п.4.);Не менее 80%.;2
Может ли срок действия страховых тарифов быть менее одного года?  (Ст. 7. п.5.);Нет;1
Из чего состоят страховые тарифы?  (Ст. 7. п.6.);Из базовых ставок и коэффициентов;2
С учётом чего устанавливаются базовые ставки страховых тарифов?  (Ст. 7. п.7.);С учетом технических и конструктивных характеристик опасных объектов;1
В зависимости от чего устанавливаются коэффициенты страховых тарифов?  (Ст. 7. п.8.);Указанное в ответе 1, а также в зависимости от отсутствия или наличия страховых случаев, произошедших в период действия предшествующего договора обязательного страхования из-за нарушения страхователем норм и правил эксплуатации опасного объекта, установленных законодательством Российской Федерации;2
Имеет ли право потерпевший при наступлении страхового случая  предъявить непосредственно страховщику требование о возмещении причиненного вреда?  (Ст. 8. п.1.);Да;2
"Кем возмещается разница между страховой выплатой и фактическим размером вреда, если размер вреда, причиненного потерпевшему, превышает предельный размер страховой выплаты, установленный частью 2 ст. 6 ФЗ от 27.07.2010 г. № 225-ФЗ ""Об обязательном страховании гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте""? (Ст. 8. п.3.)";Владельцем опасного объекта;1
Что не возмещает страховщик по договору обязательного страхования? (Ст.8. п.8.);Перечисленное выше;3
В каких случаях страховщик освобождается от обязанности осуществить страховую выплату? (Ст. 8. п.9.);Если вред потерпевшим причинен в результате аварии на опасном объекте, произошедшей вследствие обстоятельств, предусмотренных пунктом 1 статьи 964 Гражданского кодекса Российской Федерации, а также в результате диверсий и террористических актов;1
Какие требования о возмещении вреда удовлетворяются в первую очередь, если страховые выплаты должны быть произведены нескольким потерпевшим и сумма их требований, предъявленных страховщику на день первой страховой выплаты по этому страховому случаю, превышает размер страховой суммы? (Ст. 8. п.10.);Требования о возмещении вреда, причиненного имуществу потерпевших - юридических лиц.;3
Когда исполнение страховщиком обязанности по осуществлению страховой выплаты считается выполненным? (Ст. 8. п.12.);Со дня поступления денежных средств на банковский счет потерпевшего или со дня выплаты денежных средств из кассы страховщика;2
Какие положения включают в себя правила обязательного страхования? (Ст. 9. п.2.);Перечисленные выше;4
Какие образцы (формы) должны содержать правила обязательного страхования? (Ст. 9. п.4.);Образец страхового полиса, стандартные формы типового договора обязательного страхования, заявления страхователя об обязательном страховании и документа, содержащего сведения об обязательном страховании, предоставляемые страховщиком в соответствии с частью 6 ст. 10 ФЗ от 27.07.2010 г. № 225-ФЗ;2
На какой срок заключается договор обязательного страхования в отношении каждого опасного объекта, и каким документом подтверждается заключение договора обязательного страхования? (Ст. 10. п.1.);"Не менее чем один год; страховой полис установленного образца";1
Когда договор обязательного страхования вступает в силу?  (Ст. 10. п.3.);Со дня исполнения страхователем обязанности по уплате страховой премии или первого страхового взноса либо с иного определенного договором обязательного страхования дня при условии, если страховая премия или первый страховой взнос уплачены до дня вступления в силу договора обязательного страхования;2
В течение какого времени при смене владельца опасного объекта в период действия договора обязательного страхования новый владелец со дня вступления во владение опасным объектом должен в письменной форме уведомить об этом страховщика, чтобы права и обязанности страхователя по этому договору перешли к нему? (Ст. 10. п.4.);В течение 30 календарных дней.;2
Какие сведения и в какой форме по требованию страхователя страховщик предоставляет ему при прекращении договора обязательного страхования?  (Ст. 10. п.6.);"Сведения о количестве и характере наступивших страховых случаев, об осуществленных и о предстоящих страховых выплатах, рассматриваемых и неурегулированных требованиях потерпевших о страховых выплатах в период действия указанного договора; в письменной форме и бесплатно";1
Сколько времени составляет срок исковой давности по требованиям, вытекающим из договора обязательного страхования? (Ст. 10. п.8.);Три года;2
Что входит в обязанности страхователя при аварии на опасном объекте? (Ст. 11. п.2. п.п.6.);Перечисленное выше;4
Имеет ли право страховщик в случае просрочки уплаты страховой премии (очередного страхового взноса) более чем на 30 дней, требовать расторжения договора обязательного страхования? (Ст. 12. п.1. п.п.4.);Да;2
Сколько времени составляет срок исковой давности по требованию об осуществлении компенсационных выплат? (Ст. 14. п.3.);Три года;2
На какую сумму уменьшаются компенсационные выплаты? (Ст. 15. п.4.);На сумму, равную сумме произведенного страховщиком и (или) страхователем частичного возмещения вреда;2
За счёт каких средств образуется имущество профессионального объединения страховщиков? (Ст. 21. п.1.);Перечисленных выше;3
"Могут ли споры, связанные с обязательным страхованием, осуществляемым в соответствии с ФЗ от 27.07.2010 г. № 225-ФЗ ""Об обязательном страховании гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте"", разрешаться арбитражным или третейским судом? (Ст. 28.)";Да;2
На кого распространяются требования Правил по охране труда при работе на высоте? (п. 2);На работников и работодателей - физических или юридических лиц, вступивших в трудовые отношения с работниками, выполняющими работы на высоте;1
При каких условиях работы относятся к работам на высоте? (п. 3);При наличии условий, перечисленных в ответах 1 - 3;5
Каким требованиям должны соответствовать работники, допускаемые к работе на высоте? (п.п. 12-13.);Указанным в ответах 1 - 3;5
К какой группе по безопасности работ на высоте относятся работники, допускаемые к работам в составе бригады из числа высококвалифицированных рабочих и специалистов? (п. 14) ;группа 2;2
Какие из указанных категорий работников относятся к 3 группе по безопасности работ на высоте? (п. 15);Ответственные руководители работ на высоте, выполняемых с оформлением наряда-допуска;2
На какие группы делятся работники, допускаемые к непосредственному выполнению работ на высоте, выполняемых с оформлением наряда-допуска? (п. 15);На группы, указанные в ответах 1 - 3;5
С какой периодичностью проводится обучение работников 1 и 2 групп безопасным методам и приемам выполнения работ на высоте? (п. 23.);Не реже 1 раза в 3 года;2
С какой периодичностью проводится обучение работников 3 группы безопасным методам и приемам выполнения работ на высоте? (п. 23.);Не реже 1 раза в 5 лет;3
Какие документы выдаются работникам, успешно сдавшим экзамен на допуск к работам на высоте, выполняющим работы на высоте с применением систем канатного доступа? (п. 27.);Указанные в ответах 1 и 2;4
Какие категории работников могут назначаться руководителями стажировки для работников 1 и 2 группы, допускаемые к работам на высоте без применения инвентарных лесов и подмостей, а также с применением систем канатного доступа? (п. 31.);Указанные в ответах 1 - 4;5
Какие технико-технологические мероприятия должен организовать работодатель до начала выполнения работ на высоте? (п. 35.);Указанные в ответах 1 - 4;5
Проведение каких организационных мероприятий должен организовать работодатель до начала выполнения работ на высоте?  (п. 35.);Указанных в ответах 1 - 5;5
При каких условиях не допускается выполнение работ на высоте без оформления наряда-допуска? (п. 45.);Указанных в ответах 1 и 2;4
Что должен организовать работодатель для обеспечения безопасности работ, проводимых на высоте? (п. 47.);"Правильный выбор и использование средств защиты; соблюдение указаний маркировки средств защиты; обслуживание и периодические проверки средств защиты, указанных в эксплуатационной документации производителя";3
Какие работы должны быть включены в утверждаемый работодателем перечень работ, выполняемых на высоте по наряду-допуску? (п. 48.);Указанные в ответах 1 и 2;3
В каких исключительных случаях работы на высоте могут быть начаты без оформления наряда-допуска? (п. 49.);Предупреждение аварии, устранение угрозы жизни работников, ликвидация последствий аварий и стихийных бедствий;1
Каким образом оформляются работы на высоте, проводимые одновременно с другими видами работ, требующими оформления наряда-допуска?  (п. 50.);Оформлением одного наряда-допуска с обязательным включением в него сведений о производстве работ на высоте и назначением лиц, ответственных за безопасное производство работ;2
При каком условии выдается наряд-допуск для выполнения работ на высоте в охранных зонах сооружений или коммуникаций? (п. 52.);При наличии письменного разрешения владельца этого сооружения или коммуникации;2
Какие категории работников должны быть назначены для организации безопасного производства работ на высоте, выполняемых с оформлением наряда-допуска? (п. 53.);Перечисленные в ответах 1 - 3;5
Укажите обязанности должностных лиц, выдающих наряд-допуск на производство работ на высоте? (п. 54.);Указанные в ответах 1 - 4;5
В скольких экземплярах оформляется наряд-допуск на производство работ на высоте? (п. 54.);В двух;2
За что несут ответственность должностные лица, выдающие наряд-допуск на производство работ на высоте? (п. 55.);Указано в ответах 1 и 2;4
За что несет ответственность ответственный руководитель работ на высоте, проводимых по наряду-допуску? (п. 57.);Указано в ответах 1 и 2;4
Каковы обязанности ответственного исполнителя (производителя) работ на высоте, проводимых по наряду-допуску? (п. 59.);Указаны в ответах 1 - 3, а также вывести членов бригады с места производства работ по окончании рабочей смены;4
Каковы обязанности члена бригады при выполнении работ на высоте, проводимых по наряду-допуску? (п. 60.);Указаны в ответах 1 - 3;5
С чем должен быть ознакомлен работник, приступающий к выполнению работы на высоте по наряду-допуску? (п. 61.);С указанным в ответах 1 - 3;5
Какие опасные условия для возникновения причины падения работника с высоты должны выявляться ответственным руководителем работ в присутствии ответственного исполнителя работ при осмотре рабочего места перед началом работ на высоте? (п. 62.);Указанные в ответах 1 - 3;5
Какие факторы должны учитываться при проведении осмотра рабочих мест, предназначенных для проведения работ на высоте? (п. 63.);Указанные в ответах 1 - 3;4
"Что такое ""фактор падения""? (п. 63.)";Характеристика высоты возможного падения работника, определяемая отношением значения высоты падения работника до начала остановки или начала торможения падения из-за задействования соединительной подсистемы, в том числе начала срабатывания амортизатора, при его наличии, к ее суммарной длине;1
"Что такое ""фактор отсутствия запаса высоты""? (п. 63.)";Запас высоты при использовании стропа с амортизатором рассчитывается с учетом суммарной длины стропа и соединительных элементов, длины сработавшего амортизатора, роста работника, а также свободного пространства, остающегося до нижележащей поверхности в состоянии равновесия работника после остановки падения;2
"Что такое ""фактор маятника при падении""? (п. 63.)";Условия, возникающие при таком выборе местоположения анкерного устройства относительно расположения работника, когда падение работника сопровождается маятниковым движением;3
На какой срок разрешается выдавать наряд-допуск на производство работ на высоте?  (п. 65.);Не более 15 календарных дней со дня начала работы;3
Кто имеет право продлевать наряд-допуск на производство работ на высоте? (п. 65.);Работник, выдавший его, или другой работник, имеющий право выдачи наряда-допуска;1
При каких условиях работы прекращаются, а наряд-допуск на производство работ на высоте аннулируется? (п. 65.);При возникновении в процессе работ опасных производственных факторов и вредных условий труда, не предусмотренных нарядом-допуском;1
Каков срок хранения нарядов-допусков на производства работ на высоте, работы по которым полностью закончены? (п. 66.);30 суток, после чего они могут быть уничтожены;1
При возникновении каких обстоятельств наряд-допуск на производство работ на высоте аннулируется, а возобновление работ производится после выдачи нового наряда-допуска? (п. 69.);При возникновении любых из перечисленных в ответах 1 - 3 обстоятельств;4
Кому разрешается изменять состав бригады при проведении работ на высоте по наряду допуску? (п. 69.);Лицам, указанным в ответах 1 и 2;4
Каковы обязанности ответственного исполнителя работ на высоте, выполняемых по наряду-допуску, после завершения работы? (п. 73.);Перечисленные в ответах 1 и 2, а также сообщить ответственному руководителю о завершении работ;4
Как оформляется завершение работ на высоте по наряду-допуску после осмотра места работы? (п. 73.);Записью в соответствующей графе журнала учета работ по наряду-допуску;1
Каким требованиям должны отвечать проходы на площадках и рабочих местах, расположенных на высоте? (п. 84.);Указанным в ответах 1 и 2;3
Какие требования предъявляются к лесам, подмостям и другим приспособлениям для выполнения работ на высоте? (п. 87.);Указаны в ответах 1 и 2;3
Какова масса сборочных элементов, приходящихся на одного работника при ручной сборке средств подмащивания? (п. 88.);"28 кг - при монтаже средств подмащивания на высоте; 50 кг - при монтаже средств подмащивания на земле или перекрытии (с последующей установкой их в рабочее положение монтажными кранами, лебедками)";2
Каковы требования к лесам, предназнгаченным для работы на высоте, и их элементам? (п. 91.);Указаны в ответах 1 - 3, а также если леса металлические, то они должны быть заземлены;5
Какие требования предъявляются к устройству лесов высотой 6 м и более? (п. 92.);Указаны в ответах 1 - 3;5
Какие требования предъявляются к лесам и трапам для подъема на леса и спуска людей с лесов? (п. 94.);Указаны в ответах 1 и 2;4
Каков порядок допуска лесов и подмостей в эксплуатацию? (п.п. 97, 98.);Указан в ответах 1 и 2;4
Каков порядок проведения осмотров находящихся в эксплуатации установленных лесов? (п. 100.);"Ответственный исполнитель (производитель) работ осматривает леса перед началом работ каждой рабочей смены; лицо, назначенное ответственным за безопасную организацию работ на высоте, осматривает леса не реже 1 раза в 10 рабочих смен; результаты осмотра записываются в журнале приема и осмотра лесов и подмостей";1
Каков порядок допуска в эксплуатацию лесов, с которых в течение месяца и более работа не производилась? (п. 102.);Перед возобновлением работ леса подвергают приемке повторно;1
На какие виды делятся системы обеспечения безопасности работ на высоте? (п. 116.);Удерживающие системы, системы позиционирования, страховочные системы, системы спасения и эвакуации;2
Каким требованиям должны соответствовать системы обеспечения безопасности работ на высоте? (п. 117.);"Соответствовать существующим условиям на рабочих местах, характеру и виду выполняемой работы; учитывать эргономические требования и состояние здоровья работника; с помощью систем регулирования и фиксирования, а также подбором размерного ряда соответствовать, росту и размерам работника";1
Для чего предназначены системы обеспечения безопасности работ на высоте? (п. 118.);"Для удерживания работника таким образом, что падение с высоты предотвращается (системы удерживания или позиционирования);  для безопасной остановки падения (страховочная система) и уменьшения тяжести последствий остановки падения; для спасения и эвакуации";3
Каков максимальный срок годности средств индивидуальной защиты от падения с высоты при соблюдении правил эксплуатации и хранения? (п. 125.);Устанавливается изготовителем и указывается в эксплуатационной документации (инструкции) на изделие;4
Из чего состоят системы обеспечения безопасности работ на высоте? (п. 126.);"Из анкерного устройства; привязи (страховочной, для удержания, для позиционирования, для работ в положении сидя, спасательной); соединительной подсистемы (строп, канат, карабин, амортизатор или устройство функционально его заменяющее, средство защиты втягивающего типа, средство защиты от падения ползункового типа на гибкой или на жесткой анкерной линии, устройство для позиционирования на канатах)";2
"Какую нагрузку должен выдерживать структурный анкер, не являющийся частью анкерного устройства? (п. 128.)
";Указанную изготовителем присоединяемой к нему системы обеспечения безопасности работы на высоте;4
В каких случаях используются системы позиционирования работника при обеспечении безопасности работ на высоте? (п. 131.);При необходимости фиксации рабочего положения на высоте для обеспечения комфортной работы в подпоре, при этом сводится к минимуму риск падения ниже точки опоры путем принятия рабочим определенной рабочей позы;1
В каких случаях используются страховочные системы обеспечения безопасности работ на высоте? (п. 132.);При выявлении по результатам осмотра рабочего места риска падения ниже точки опоры работника, потерявшего контакт с опорной поверхностью, при этом их использование сводит к минимуму последствия от падения с высоты путем остановки падения;2
Разрешено ли использовать безлямочные предохранительные поясы в страховочных системах обеспечения безопасности работ на высоте? (п. 132.);Запрещено ввиду риска травмирования или смерти вследствие ударного воздействия на позвоночник работника при остановке падения, выпадения работника из предохранительного пояса или невозможности длительного статичного пребывания работника в предохранительном поясе в состоянии зависания;1
Какие требования предъявляются к предписанному в проекте производства работ на высоте или наряде-допуске расположению типа и места установки анкерного устройства страховочной системы? (п. 133.);Указанные в ответах 1 и 2;4
Какие составляющие включают в себя системы спасения и эвакуации систем обеспечения безопасности работ на высоте? (п. 137.);Указанные в ответах 1 - 4;5
Какие требования предъявляются к стропам страховочной системы обеспечения безопасности работ на высоте для электрогазосварщиков и других работников, выполняющих огневые работы?  (п. 141.);Должны быть изготовлены из огнестойких материалов;2
В каких случаях могут применяться системы канатного доступа при работах на высоте?  (п. 143.);Только в тех случаях, когда осмотр рабочего места указывает, что при выполнении работы использование других, более безопасных методов и оборудования, нецелесообразно;1
Какие организационно распорядительные документы разрабатываются для проведения работ на высоте с использованием системы канатного доступа? (п. 144.);Указанные в ответах 1 и 2;4
Какие требования охраны труда предъявляются Правилами к конструкции и установке приставных лестниц и стремянок? (п.п. 169, 170.);Указанные в ответах 1 - 4;5
Что является необходимым условием безопасности при работе с приставной лестницы на высоте более 1,8 м? (п. 172.);Применение страховочной системы, прикрепляемой к конструкции сооружения или к лестнице (при условии закрепления лестницы к строительной или другой конструкции), длина приставной лестницы должна обеспечивать работнику возможность работы в положении стоя на ступени, находящейся на расстоянии не менее 1 м от верхнего конца лестницы;3
Как предупредить падение приставной лестницы от случайных толчков при работе в местах с оживленным движением транспортных средств или людей?  (п. 177.);"Место установки приставной  лестницы следует ограждать или охранять; в случаях, когда невозможно закрепить лестницу при установке ее на гладком полу - у ее основания должен стоять работник в каске и удерживать лестницу в устойчивом положении";1
Как обеспечить безопасный проход работников, выполняющих работы на крыше здания с уклоном более 20°, а также на крыше с покрытием, не рассчитанным на нагрузки от веса работников? (п. 181.);Устройством закрепленных на время работы трапов шириной не менее 0,3 м с поперечными планками для упора ног;1
Для чего предназначены монтерские когти? (п. 183.);Для работы на деревянных и деревянных с железобетонными пасынками опорах линий электропередачи и связи, на железобетонных опорах воздушных линий электропередачи (ВЛ), а также на цилиндрических железобетонных опорах диаметром 250 мм ВЛ;1
Для чего предназначены монтерские лазы? (п. 184);Для подъема на железобетонные опоры прямоугольного сечения ВЛ;2
Для чего предназначены универсальные лазы? (п. 184.);Для подъема на унифицированные железобетонные цилиндрические и конические опоры ВЛ;2
При каких условиях запрещается использовать когти и лазы для подъема людей? (п. 190.);Указаны в ответах 1 и 2;3
Как должны применяться оборудование, механизмы, ручной механизированный и другой инструмент, инвентарь, приспособления и материалы, используемые при выполнении работы на высоте?  (п.п. 192, 193.);С обеспечением мер безопасности, указанных в ответах 1 - 3;5
Чем должны обеспечиваться рабочие места грузоподъемных механизмов, расположенные выше 5 м? (п. 195.);Средствами эвакуации с высоты (средствами самоспасения);2
Какие дополнительные сведения должны быть отражены в ППР на высоте при монтаже сборно-монолитных, крупнопанельных и многоэтажных конструкций? (п. 243);Указанные в ответах 1 - 4;5
Какие вредные производственные факторы могут воздействовать на работника при выполнении плотницких работ на высоте? (п. 245.);Указанные в ответах 1 - 2;5
Какие виды плотницких работ запрещены к выполнению с приставных лестниц? (п. 246.);Подбивка потолков и укладка накатов;2
В соответствии с каким организационно-распорядительным документом производится допуск работников к выполнению кровельных и других работ на крышах зданий? (п. 251.);В соответствии с нарядом-допуском после осмотра ответственным исполнителем работ или мастером совместно с бригадиром несущих конструкций крыши и ограждений и определения их состояния и мер безопасности;2
Проведение каких мероприятий, обеспечеивающих безопасность персонала, обязательно перед началом кровельных и других работ на крышах зданий? (п. 252.);Указанных в ответах 1 - 3;5
Как следует выполнять работы по установке (подвеске) готовых водосточных желобов, воронок и труб, а также колпаков и зонтов на дымовых и вентиляционных трубах, по покрытию парапетов, отделке свесов ? (п. 257.);Со специальных подмостей, выпускных лесов, с самоподъемных люлек или автомобильных подъемников, а также с использованием систем канатного доступа;1
Чем обеспечиваются места производства кровельных работ? (п. 258.);Указано в ответах 1 - 3;4
Какое расстояние должно быть между смежными рабочими звеньями, выполняющими кровельные работы на одной кровле? (п. 259.);Не менее 10 м;2
Разрешается ли при подъеме на дымовую трубу браться за верхнюю последнюю скобу и становиться на нее? (п. 262.);Нет;2
На каком расстоянии от верха дымовой трубы должны располагаться площадка верхнего яруса лесов? (п. 263.);Ниже не менее, чем на 0,65 м;2
Какое расстояние должно быть между стеной трубы и внутренним краем рабочей площадки? (п. 265.);Не более 200 мм;1
Какими устройствами можно обезопасить проходящих внизу работников от падения предметов с высоты при производстве работ по ремонту и обслуживанию дымовых труб? (п. 266.);Вокруг трубы необходимо оградить опасную зону, на высоте 2,5 - 3 м установить защитный козырек шириной не менее 2 м с двойным настилом досок толщиной не менее 40 мм, с уклоном к трубе и бортовой доской высотой не менее 150 мм;2
Какое расстояние должно быть при укладке бетона из бункера на высоте между нижней кромкой бункера и ранее уложенным бетоном или поверхностью, на которую укладывается бетон? (п. 271.);Условия ответов 1 и 3 совместно;4
Какова предельная высота возведения свободно стоящих каменных стен (без укладки перекрытий)? (п. 276.);Определяется проектом производства работ;4
Какими устройствами обеспечивается безопасность наружного прохода людей вблизи мест производства работ при кладке наружных стен зданий высотой более 7 м? (п. 280.);С внутренних подмостей по всему периметру здания устраивается ряд наружных защитных козырьков на высоте не более 6 м от земли и сохраняется до полного окончания кладки стен, а второй ряд должен устанавливаться на высоте 6 - 7 м над первым рядом, а затем по ходу кладки переставляться через 6 - 7 м;3
Какими мерами обеспечивается безопасность труда при производстве стекольных работ и работ по очистке остекления зданий (фасадов, окон, плафонов светильников, световых фонарей)? (п. 284.);Указанными в ответах 1 и 2;3
